Crop,Temperature,Rainfall,Humidity
Black Gram,32,60,68
Cotton,35,57,65
Field Pea,34,50,71
Groundnut,32,62,74
Rice,35,104,73
Sorghum,33,58,69
Sunflower,35,109,74
Maize,33,73,73
Gram,35,41,70
Groundnut,35,56,66
Green gram,35,68,72
Cotton,35,56,69
Sunflower,32,135,75
Rice,32,131,71
SugarCane,33,258,69
Sunflower,33,47,70
Maize,33,62,65
Gram,32,45,65
Rap seed,35,44,71
Black Gram,35,41,72
Millet,33,29,72
Millet,35,29,74
Sorghum,32,58,74
Mustard,33,41,74
Barley,34,43,71
Wheat,32,81,68
Soybean,32,63,69
Rice,33,118,70
Sorghum,34,56,72
Barley,34,50,72
Field Pea,33,42,72
Mustard,32,44,70
Rap seed,35,44,68
Field Pea,34,46,73
Rice,32,139,66
Barley,34,47,74
SugarCane,32,284,72
Sunflower,33,148,67
Maize,35,60,75
Millet,33,25,65
Field Pea,33,44,73
Field Pea,32,45,68
Rap seed,35,36,66
Sunflower,33,76,73
Green gram,34,73,67
Barley,32,49,68
SugarCane,32,300,70
Millet,35,34,67
Wheat,35,71,68
Sorghum,33,47,74
Gram,33,36,70
Rice,32,123,71
Maize,32,70,74
Millet,34,34,70
Maize,32,60,74
Wheat,32,84,67
Green gram,34,64,71
Rap seed,32,41,65
Millet,34,29,69
Soybean,35,63,67
Maize,32,56,69
Wheat,33,73,65
Gram,32,39,68
Mustard,34,37,65
Rap seed,33,36,66
Soybean,33,70,71
SugarCane,32,265,72
Green gram,35,62,71
Groundnut,35,93,73
Soybean,35,61,68
Cotton,35,53,74
SugarCane,33,253,72
Maize,32,59,69
Sorghum,32,40,73
Millet,34,29,75
Soybean,35,65,66
Black Gram,33,56,67
Rap seed,32,36,66
Gram,33,38,75
SugarCane,33,259,73
Rice,34,147,69
Sunflower,35,132,72
Gram,32,35,68
Wheat,34,66,70
Groundnut,33,90,71
Mustard,34,41,68
SugarCane,35,262,74
Rice,35,116,67
Sunflower,32,73,74
Rap seed,32,40,71
Rice,34,127,70
Black Gram,34,55,71
Black Gram,32,45,71
Cotton,34,55,72
Maize,33,75,72
Sorghum,33,42,67
Maize,33,63,69
Mustard,32,45,66
Maize,33,77,65
Sorghum,33,54,73
Maize,34,63,69
Maize,35,80,73
Wheat,33,89,72
Mustard,35,35,71
Mustard,33,38,68
Sorghum,35,60,68
Rap seed,35,38,74
Rice,34,129,71
Sunflower,33,67,71
SugarCane,34,295,67
Wheat,32,86,66
Black Gram,33,41,69
Barley,33,35,68
Gram,35,42,65
Millet,32,30,69
Mustard,33,37,67
Barley,33,36,73
Cotton,33,63,65
Barley,34,36,65
Rap seed,32,38,69
SugarCane,32,258,68
Rice,34,114,67
Black Gram,34,55,72
Wheat,32,77,70
Black Gram,35,47,68
Millet,32,25,69
Millet,32,34,70
Maize,32,55,66
Rice,35,117,74
Soybean,32,70,67
Green gram,33,72,68
Wheat,32,73,67
Rap seed,32,41,70
Groundnut,33,91,72
Millet,33,27,66
SugarCane,35,256,65
Barley,32,42,74
Groundnut,35,65,73
Soybean,32,64,73
Soybean,35,62,71
Barley,34,36,75
Soybean,35,65,73
Black Gram,35,54,75
Soybean,32,71,66
Rap seed,34,44,72
Mustard,33,42,73
Sunflower,35,37,75
Cotton,32,67,75
Sorghum,33,48,75
Green gram,35,75,65
Field Pea,32,49,67
Rice,34,133,68
Wheat,33,90,72
Black Gram,32,47,75
Gram,33,38,65
Gram,35,41,67
Sunflower,35,35,67
Field Pea,33,59,67
Rice,32,114,72
Green gram,35,62,66
Rice,33,121,65
Field Pea,33,45,70
Cotton,34,64,69
Millet,35,27,71
Millet,32,32,66
Green gram,35,65,69
Maize,33,65,74
Black Gram,32,52,70
Black Gram,32,56,74
Rice,35,150,68
Sorghum,32,51,71
Rice,34,106,67
Sorghum,34,55,68
Rap seed,32,35,71
Sunflower,32,68,75
Soybean,33,65,67
Sorghum,32,48,72
Barley,34,36,71
Barley,33,41,65
Rap seed,34,45,75
Millet,33,31,69
Mustard,35,41,72
Gram,35,40,66
Maize,35,73,69
Barley,32,48,67
Groundnut,32,56,67
Groundnut,32,74,66
Rap seed,34,44,70
Field Pea,35,40,75
Sunflower,33,47,66
Rap seed,35,39,67
Soybean,33,66,69
Millet,32,28,71
Rice,35,140,74
Sorghum,34,41,66
Gram,34,35,67
Sunflower,35,58,75
Green gram,32,73,67
Wheat,34,85,70
Maize,35,50,65
Sunflower,35,70,73
Rap seed,34,39,68
SugarCane,32,292,67
Green gram,32,73,67
Wheat,33,67,66
Black Gram,34,41,70
Gram,32,43,75
Groundnut,32,93,66
Sorghum,35,49,71
Rice,34,123,73
Maize,32,60,71
Wheat,35,68,71
Sunflower,34,54,66
Sunflower,34,79,70
Maize,32,77,68
Wheat,33,87,65
Green gram,34,69,66
Cotton,32,51,66
Cotton,33,65,71
Mustard,35,41,67
Millet,33,28,75
Millet,35,34,66
Groundnut,33,61,70
Gram,32,37,70
Sorghum,33,53,70
Maize,32,72,72
Soybean,33,71,70
Field Pea,35,43,74
SugarCane,35,296,72
Cotton,34,53,71
Wheat,34,67,72
Rap seed,35,41,75
Sunflower,35,35,66
SugarCane,33,273,69
Cotton,34,52,68
Sorghum,33,50,65
Cotton,34,58,67
Mustard,33,37,65
SugarCane,34,295,68
Wheat,34,66,74
Sunflower,34,86,75
Cotton,34,61,68
Black Gram,32,40,66
Maize,33,71,66
Barley,33,42,69
Sunflower,33,100,66
Cotton,33,55,74
Rice,32,126,69
Field Pea,33,49,66
Groundnut,32,65,70
Rap seed,35,45,66
Rap seed,35,39,72
Groundnut,34,62,73
Black Gram,32,54,74
Field Pea,32,45,66
Maize,35,61,68
Mustard,33,39,71
Sunflower,34,60,74
Soybean,35,73,65
Gram,33,44,68
Sunflower,34,87,67
Wheat,32,69,66
Maize,33,66,72
Black Gram,33,46,72
Black Gram,32,53,67
Sunflower,32,93,65
Millet,35,25,71
Black Gram,35,44,75
Field Pea,34,49,70
Groundnut,32,88,65
Green gram,32,68,67
Wheat,35,81,72
Millet,32,31,71
Sorghum,33,53,65
Sunflower,34,53,72
Mustard,35,39,69
Millet,35,33,74
SugarCane,32,266,66
Sorghum,34,50,67
Mustard,35,39,75
Cotton,33,70,70
Rice,34,115,75
Soybean,35,64,75
Groundnut,34,56,71
Black Gram,35,45,66
Soybean,32,69,68
Sorghum,32,43,71
Groundnut,33,89,66
Cotton,35,67,69
Sorghum,34,52,71
Wheat,32,90,74
Millet,32,26,75
Field Pea,33,41,71
Rice,34,137,70
Barley,33,41,73
Barley,32,44,65
Soybean,35,74,66
Black Gram,32,45,68
Sorghum,32,48,69
Groundnut,34,94,68
Soybean,33,72,68
Millet,35,30,67
Barley,35,49,69
Sunflower,32,140,65
Sorghum,33,42,72
Rice,33,115,71
Black Gram,32,40,74
Maize,34,57,67
Wheat,34,72,75
Black Gram,33,58,67
Mustard,33,45,74
Rice,34,147,69
Millet,34,28,71
Field Pea,35,58,71
Wheat,33,71,74
Cotton,35,62,71
Millet,34,33,71
Maize,33,52,70
SugarCane,35,275,68
Sorghum,33,52,65
Sunflower,33,60,69
Green gram,34,68,69
Black Gram,35,53,69
Green gram,33,70,68
Green gram,35,67,72
Millet,32,32,70
Wheat,34,64,66
Soybean,32,72,70
Wheat,33,81,71
Sorghum,35,40,71
Soybean,35,67,73
Groundnut,34,58,73
Gram,35,37,75
Green gram,33,79,73
SugarCane,32,288,70
Groundnut,33,89,65
Groundnut,33,61,70
Cotton,32,62,70
Wheat,34,65,68
Sunflower,33,103,75
Maize,35,75,73
Rap seed,35,35,69
Soybean,35,67,69
Sunflower,34,124,70
Field Pea,32,49,75
Green gram,35,76,67
Rice,33,109,71
Black Gram,34,51,71
Sorghum,32,41,66
Rap seed,33,38,72
Groundnut,33,52,68
Wheat,33,81,69
Cotton,33,69,67
Sorghum,32,58,68
Rice,32,134,74
Maize,32,64,65
Barley,34,47,65
Sunflower,32,52,65
Mustard,33,39,72
Soybean,35,71,66
Maize,35,56,69
Cotton,33,53,75
Rap seed,32,38,74
Soybean,35,68,71
SugarCane,33,257,71
Millet,35,31,67
Rice,32,123,69
Green gram,34,67,74
Green gram,32,62,75
Black Gram,33,56,73
Cotton,33,70,70
Field Pea,34,44,67
Mustard,35,41,75
Cotton,34,70,66
Black Gram,33,48,75
Black Gram,33,49,66
Green gram,33,63,75
Mustard,35,44,74
Soybean,34,67,68
Soybean,35,69,67
Groundnut,32,66,65
Gram,32,44,75
Green gram,32,71,71
Barley,32,45,65
Field Pea,35,60,72
Millet,32,35,73
Green gram,33,64,70
Sorghum,32,40,73
Barley,33,48,69
Wheat,35,82,66
Barley,35,40,74
Millet,34,33,71
Cotton,32,70,69
Field Pea,33,46,69
Rap seed,35,41,65
Rap seed,32,36,66
SugarCane,32,298,65
Wheat,35,88,73
Groundnut,32,77,67
Sunflower,34,150,65
Field Pea,33,60,70
Rice,32,129,71
SugarCane,32,277,66
Millet,34,27,67
Sunflower,33,143,66
Sorghum,32,56,66
Field Pea,33,53,65
Cotton,34,52,69
SugarCane,33,297,70
Sunflower,32,43,66
Mustard,34,38,70
Wheat,32,63,69
Green gram,33,79,73
SugarCane,32,291,71
Gram,34,38,68
Barley,32,49,71
Gram,33,36,66
Gram,34,44,73
Black Gram,32,43,66
Mustard,32,41,69
SugarCane,32,280,66
Soybean,32,67,65
Sunflower,32,111,73
Wheat,35,85,72
Mustard,32,37,75
Mustard,32,37,65
Gram,34,40,65
Green gram,33,72,72
Barley,32,49,66
Sorghum,35,59,71
Rap seed,35,36,74
Rice,32,100,75
SugarCane,33,263,75
Black Gram,35,42,71
Black Gram,34,55,74
Black Gram,35,56,73
Millet,32,31,70
Rice,34,140,73
Rice,32,138,69
Cotton,35,62,73
Barley,33,36,72
Millet,32,31,71
Mustard,35,43,73
Sorghum,33,51,71
Maize,34,63,72
Field Pea,32,56,65
Gram,33,35,65
Sunflower,34,48,71
Millet,33,31,75
Sorghum,34,40,72
Sorghum,35,58,68
Maize,34,74,69
Soybean,34,64,75
Rice,35,111,74
Field Pea,34,55,73
Green gram,35,79,68
Millet,32,32,74
Soybean,33,62,70
Maize,32,59,71
Groundnut,34,80,70
Maize,32,63,71
Black Gram,34,50,73
Gram,32,39,68
Gram,33,44,66
Soybean,35,73,67
Gram,35,45,75
Sorghum,34,52,75
Wheat,35,60,66
Barley,34,47,71
Field Pea,33,45,75
Field Pea,32,43,71
Rap seed,33,38,75
Gram,34,37,70
Black Gram,35,55,67
Black Gram,35,51,67
Gram,33,44,73
Green gram,33,73,75
Rap seed,33,40,73
Rice,33,107,70
Groundnut,34,80,68
Cotton,33,60,67
Maize,33,58,70
Wheat,32,84,68
Sorghum,32,49,65
Millet,35,31,72
Barley,32,36,75
Rice,34,136,69
Gram,33,38,69
Wheat,33,75,68
Mustard,32,44,69
Rice,34,125,72
SugarCane,32,258,69
Black Gram,35,40,71
Mustard,34,36,71
Gram,32,38,72
Sunflower,35,58,69
Soybean,34,62,68
Sorghum,32,58,75
Maize,33,80,71
Groundnut,34,68,71
Millet,35,25,65
Gram,35,36,71
Barley,35,46,69
Mustard,33,43,65
Mustard,34,35,72
Gram,33,44,69
Mustard,33,42,71
Rice,33,145,67
Field Pea,33,48,66
Wheat,33,86,73
Rap seed,33,44,72
Wheat,32,65,75
Barley,35,47,73
Green gram,32,80,74
Groundnut,34,96,69
Cotton,33,52,70
Barley,32,41,67
Barley,34,47,67
Groundnut,32,79,70
Black Gram,34,43,65
Mustard,35,38,73
Sunflower,32,49,75
Groundnut,34,90,65
Barley,32,44,67
Green gram,33,68,70
Sorghum,34,45,66
Millet,32,34,72
Field Pea,33,46,66
Millet,35,34,73
Green gram,34,69,71
Sunflower,35,102,65
Cotton,33,59,66
Millet,32,25,67
Barley,33,37,65
Wheat,33,90,74
Groundnut,35,83,68
Barley,33,44,67
Sunflower,34,135,74
Rice,35,114,71
Maize,35,76,71
Rap seed,33,39,68
Wheat,35,75,75
Green gram,34,65,67
Wheat,35,60,71
SugarCane,32,254,67
Black Gram,35,55,65
Maize,33,70,67
Wheat,34,60,65
Sorghum,35,46,66
SugarCane,33,262,66
Sunflower,35,96,66
Soybean,33,62,66
Millet,34,26,72
Rap seed,35,41,71
Black Gram,34,54,66
Maize,35,57,65
Field Pea,32,48,70
Green gram,34,72,67
Maize,35,72,72
SugarCane,32,256,66
Mustard,34,45,65
SugarCane,33,262,73
SugarCane,35,286,72
Mustard,32,44,74
Rice,34,105,71
Barley,34,40,72
SugarCane,35,267,69
Millet,34,32,67
Mustard,35,38,70
Cotton,32,68,74
Sorghum,33,40,72
Mustard,33,39,69
Black Gram,34,42,66
Gram,34,45,67
Gram,35,42,72
Gram,34,40,65
Field Pea,34,52,70
Maize,35,62,65
Sunflower,35,35,73
Soybean,32,64,71
Rice,33,122,73
Cotton,32,69,65
Green gram,34,78,67
Soybean,32,70,68
Wheat,35,89,70
Groundnut,32,50,69
Sunflower,33,70,75
Millet,34,32,65
Rice,34,118,71
Field Pea,32,55,66
Rice,32,115,75
SugarCane,33,273,66
Black Gram,34,54,70
Barley,33,49,66
Groundnut,33,85,69
Soybean,32,69,70
Barley,35,37,67
Barley,35,37,73
Sorghum,32,48,72
Sorghum,32,41,75
Maize,32,78,70
Field Pea,34,51,66
Rice,35,105,65
Cotton,35,53,74
Rice,35,124,73
Rice,32,111,72
Black Gram,33,53,68
Wheat,32,71,71
Barley,32,47,73
Cotton,35,59,67
Rice,33,112,68
Mustard,34,41,67
Rice,35,120,75
Green gram,34,60,72
SugarCane,34,294,70
Green gram,34,74,67
Barley,32,43,65
Sorghum,33,46,74
Maize,32,70,69
Sorghum,35,54,68
Millet,35,35,72
Rap seed,34,36,73
Maize,34,80,67
Field Pea,33,40,72
Groundnut,32,81,75
Mustard,34,43,71
Rice,35,146,67
Green gram,33,73,65
Soybean,33,67,74
Sorghum,35,51,65
Barley,34,35,75
Barley,35,48,67
Rap seed,34,35,70
Soybean,33,74,72
Sunflower,33,121,71
Maize,33,73,66
Sorghum,33,57,68
Gram,32,35,67
Wheat,33,74,72
Sunflower,35,92,65
Maize,35,62,68
Sunflower,34,69,67
Gram,32,35,66
Soybean,34,61,70
SugarCane,32,293,71
Sorghum,32,54,74
Wheat,35,81,67
Black Gram,35,55,75
Soybean,33,75,75
Cotton,32,68,67
Groundnut,34,80,70
Rap seed,34,35,67
Millet,35,31,66
Barley,35,37,70
Field Pea,35,57,71
Maize,35,70,71
Maize,33,65,66
Black Gram,32,54,71
Groundnut,32,58,71
Field Pea,32,51,68
Rice,32,144,75
Green gram,33,61,66
Soybean,33,62,66
Sorghum,33,50,75
Soybean,33,61,75
Soybean,34,68,65
Green gram,32,61,66
Barley,32,46,68
Rap seed,35,45,67
Field Pea,32,46,67
SugarCane,33,299,69
Black Gram,32,40,74
Green gram,33,68,68
Green gram,34,64,70
Soybean,33,63,66
Maize,32,60,68
Millet,34,29,66
Maize,34,55,67
Gram,32,41,68
Sorghum,32,42,68
Barley,34,43,75
Mustard,35,36,72
Cotton,34,70,73
SugarCane,33,283,65
Sorghum,34,57,74
Sorghum,32,59,74
Black Gram,34,44,68
Rap seed,32,45,73
Millet,32,27,75
Black Gram,34,59,67
Mustard,32,45,67
Sorghum,33,55,65
Cotton,34,67,74
Gram,32,43,74
Field Pea,34,55,68
Rap seed,32,41,74
Green gram,33,70,66
Black Gram,34,60,67
Sunflower,32,41,67
Field Pea,34,45,68
Rap seed,32,44,70
Barley,32,38,75
Millet,33,25,72
Sorghum,34,50,69
Sunflower,34,72,68
Groundnut,34,87,65
Cotton,33,70,74
Maize,33,63,74
Gram,33,44,71
Green gram,34,74,74
Barley,34,46,73
Black Gram,33,49,69
Rap seed,35,38,70
Gram,35,44,69
Wheat,34,62,75
Green gram,35,64,66
Gram,33,45,66
SugarCane,35,285,71
Sunflower,35,70,73
SugarCane,33,267,72
Groundnut,35,78,70
Sorghum,34,54,75
Sunflower,32,132,74
Rice,34,136,69
Green gram,32,69,65
Maize,35,52,75
Maize,35,74,73
Gram,34,38,67
Barley,35,41,73
Black Gram,34,41,65
Green gram,35,80,68
Groundnut,32,61,75
Wheat,32,76,71
SugarCane,34,286,73
Sunflower,35,53,65
Gram,35,36,75
Sunflower,34,140,69
SugarCane,35,272,71
Groundnut,32,61,68
SugarCane,32,279,71
Sunflower,32,75,68
Groundnut,35,90,72
Millet,35,33,67
Rap seed,35,42,70
Soybean,32,63,75
Mustard,32,35,69
Gram,32,38,68
Sunflower,32,113,67
Maize,33,77,68
Maize,34,73,73
Barley,34,39,72
Wheat,32,82,75
Groundnut,34,76,75
Maize,32,70,74
Wheat,34,61,68
Millet,34,27,65
Millet,32,29,74
Sunflower,32,51,66
Green gram,35,67,72
Maize,35,78,71
Mustard,35,38,73
SugarCane,33,295,65
Sorghum,32,49,75
Mustard,33,44,66
Soybean,35,68,73
Wheat,33,84,71
Green gram,35,69,69
Wheat,33,65,72
Cotton,33,66,69
Field Pea,34,46,73
Gram,33,35,71
Rap seed,32,42,65
Millet,34,32,68
Cotton,35,58,75
Wheat,35,79,72
Soybean,33,73,66
Field Pea,34,48,70
Sorghum,32,46,75
Black Gram,33,54,74
Cotton,34,62,72
Soybean,33,71,69
Sorghum,33,47,72
Groundnut,32,89,74
Groundnut,35,98,68
Soybean,35,68,74
Black Gram,33,56,74
Cotton,32,61,75
Rap seed,32,45,74
Mustard,32,43,68
Barley,35,38,67
Sunflower,33,52,73
Mustard,35,37,71
Mustard,34,44,71
Soybean,34,68,65
Mustard,34,35,73
Sorghum,32,57,70
Rap seed,34,37,65
Sorghum,35,48,69
Black Gram,32,43,72
Soybean,35,60,72
Maize,34,60,73
Sorghum,32,42,69
Soybean,34,60,70
Green gram,33,78,69
Green gram,33,61,65
Rap seed,34,39,74
Barley,35,38,71
Mustard,32,35,74
Soybean,32,70,67
Field Pea,32,47,72
Sorghum,35,50,70
Barley,32,41,65
Cotton,35,68,66
Millet,34,26,66
Sunflower,34,82,69
Sorghum,34,47,65
Field Pea,34,41,66
Gram,33,40,75
Cotton,35,54,66
Black Gram,34,60,65
Field Pea,32,50,66
Soybean,35,64,75
Sunflower,32,148,68
Millet,32,35,74
Cotton,32,68,68
Sorghum,33,47,71
Black Gram,33,53,70
Green gram,34,69,67
Wheat,33,84,74
Wheat,33,61,70
Barley,32,38,72
Millet,32,25,65
Barley,33,43,66
Wheat,33,65,72
Rice,33,137,75
SugarCane,35,253,67
Mustard,35,37,74
Groundnut,32,72,67
Field Pea,35,59,70
Soybean,35,72,67
Soybean,34,73,70
Field Pea,34,46,71
Sunflower,35,40,73
Field Pea,33,40,73
Mustard,33,37,73
Maize,33,63,66
Sorghum,32,52,66
Rap seed,32,35,75
Wheat,35,84,71
Sorghum,32,52,66
Green gram,32,61,74
Gram,35,38,68
Cotton,34,54,67
Soybean,34,71,72
Groundnut,33,72,65
Rap seed,33,42,69
Green gram,34,80,67
Maize,34,51,65
Soybean,33,72,67
Barley,32,47,69
Maize,33,55,69
SugarCane,34,256,71
Green gram,32,60,71
Sorghum,32,53,72
Mustard,33,45,73
Rice,35,136,69
Millet,32,34,66
Soybean,33,62,75
Sorghum,34,43,73
Black Gram,33,41,67
Rap seed,35,45,70
Groundnut,34,56,75
Groundnut,33,100,72
Soybean,35,64,73
Rice,34,120,68
Field Pea,34,51,70
Field Pea,32,51,68
Mustard,34,45,69
Sorghum,35,50,70
Soybean,32,63,68
Maize,34,76,67
Millet,34,33,67
Sorghum,34,46,74
Green gram,35,80,65
Wheat,32,87,74
Mustard,34,39,65
Soybean,34,73,65
Sunflower,35,148,71
Maize,34,68,71
Rice,35,127,66
Sunflower,33,85,68
Rap seed,35,45,75
Groundnut,35,85,65
Sunflower,34,124,70
Rap seed,35,42,73
Gram,35,44,73
Gram,33,38,74
Sunflower,35,87,67
Groundnut,33,56,72
Rice,32,127,71
Mustard,32,36,70
Barley,34,47,68
Maize,34,59,71
Barley,34,45,75
Rice,34,111,75
Mustard,35,43,72
Groundnut,35,94,72
Sorghum,34,49,68
Groundnut,35,88,70
SugarCane,35,262,71
Rap seed,34,44,68
Sunflower,35,149,65
Wheat,33,66,69
Wheat,34,63,68
Rap seed,35,42,67
Soybean,33,67,65
Rap seed,33,38,74
Soybean,34,63,66
Maize,33,77,65
Soybean,32,74,73
Wheat,34,74,75
SugarCane,34,258,71
Rap seed,32,39,67
Soybean,32,67,66
Rap seed,34,36,74
Millet,32,29,74
Mustard,32,39,72
Cotton,35,67,68
SugarCane,35,264,74
Cotton,33,69,74
Barley,35,45,66
Cotton,34,53,70
Groundnut,32,95,69
Maize,33,80,74
Cotton,32,56,67
Mustard,35,39,66
Black Gram,34,42,69
SugarCane,32,261,66
Soybean,35,60,69
Rice,35,139,73
Field Pea,34,40,66
Barley,35,44,66
Field Pea,35,40,74
Cotton,34,57,69
Gram,32,44,65
Millet,33,32,69
Sunflower,32,45,74
Maize,35,58,74
Millet,33,35,65
Soybean,32,66,67
Field Pea,33,40,71
Black Gram,34,53,75
Black Gram,35,47,66
Maize,32,66,75
Groundnut,33,94,68
Groundnut,34,71,65
Soybean,34,65,70
Soybean,33,60,70
Cotton,33,62,70
SugarCane,34,275,71
Sunflower,33,109,69
Soybean,33,63,67
Soybean,34,70,69
Gram,32,38,68
Green gram,33,66,69
Field Pea,32,54,65
Gram,35,40,69
Green gram,33,80,74
Black Gram,34,54,68
SugarCane,34,284,75
Rice,33,116,66
Millet,34,35,69
Mustard,34,37,65
Barley,33,37,65
Soybean,35,60,73
Cotton,34,55,66
Black Gram,35,43,75
Black Gram,32,45,75
Sunflower,33,49,75
Sorghum,34,50,68
Barley,35,38,71
Green gram,35,60,67
Field Pea,32,55,68
Barley,35,41,71
Gram,33,38,70
Black Gram,33,60,73
SugarCane,35,268,71
Field Pea,33,46,74
Mustard,34,38,73
Gram,35,40,71
Sunflower,32,91,66
Rice,35,104,70
Green gram,32,62,71
Maize,32,54,65
Gram,33,44,68
Green gram,35,75,74
Cotton,32,54,72
Sunflower,33,124,74
Mustard,33,41,66
Soybean,34,73,68
Rap seed,35,37,72
Gram,35,41,70
Barley,32,45,67
SugarCane,33,295,73
Barley,35,36,73
Sunflower,32,129,75
Black Gram,34,55,69
Millet,35,28,73
Millet,33,33,72
SugarCane,32,280,65
Green gram,34,71,70
Sorghum,32,57,72
Soybean,33,69,71
Gram,34,38,67
Millet,34,31,68
Maize,33,55,66
Field Pea,32,49,66
Sunflower,33,53,69
Gram,33,45,67
Cotton,34,56,72
Sunflower,35,41,65
Sorghum,34,46,75
Wheat,35,84,70
Mustard,33,37,67
Sorghum,32,48,67
Cotton,32,66,73
Black Gram,35,40,74
Millet,33,30,72
Mustard,35,45,72
Maize,32,73,74
Cotton,32,53,72
Wheat,34,79,65
Maize,35,50,68
Maize,32,67,70
Cotton,34,53,67
Maize,32,69,71
Rice,32,132,74
Gram,32,42,71
SugarCane,32,283,68
Green gram,35,60,69
Rice,32,104,68
Mustard,33,43,69
SugarCane,34,270,68
Cotton,33,60,73
Maize,35,51,72
Wheat,32,61,67
Wheat,32,73,65
Gram,35,44,70
Field Pea,34,55,69
Soybean,33,75,65
Sorghum,32,46,75
Rap seed,35,44,75
Sorghum,32,59,70
Gram,32,38,68
Sunflower,35,38,66
Rice,32,149,65
Black Gram,35,50,68
Rice,34,133,68
Maize,32,70,71
Green gram,32,65,70
Wheat,32,90,75
Cotton,33,59,71
Maize,35,74,75
Field Pea,32,50,65
Black Gram,32,44,71
Field Pea,32,47,66
Maize,32,52,73
Field Pea,33,57,74
Field Pea,33,47,66
Maize,35,64,68
Green gram,33,79,71
SugarCane,33,279,72
Sunflower,33,141,66
Barley,35,44,71
Sunflower,33,84,71
Black Gram,34,49,68
Cotton,32,67,68
Green gram,33,74,74
Soybean,35,73,68
Gram,34,37,74
Gram,33,40,73
Millet,35,26,72
Rice,35,115,75
Soybean,35,74,72
Cotton,35,54,65
Cotton,33,52,75
Soybean,32,68,67
SugarCane,32,251,74
Gram,34,38,65
Sorghum,33,47,71
Millet,32,25,68
Soybean,34,64,71
Field Pea,33,47,74
Millet,34,28,72
Maize,33,51,69
Barley,35,37,68
Mustard,35,45,66
Mustard,35,40,66
Cotton,34,70,73
Rap seed,33,37,74
Sorghum,32,54,71
SugarCane,32,255,74
Wheat,35,84,72
Gram,32,39,67
Groundnut,33,76,70
Soybean,32,72,71
Wheat,33,76,71
Sunflower,32,95,66
Field Pea,32,49,67
Cotton,34,57,65
Soybean,32,63,69
Maize,32,59,69
Groundnut,35,60,71
Maize,35,57,74
Field Pea,35,43,67
Millet,34,35,68
Rice,35,111,69
Sunflower,32,37,73
Groundnut,33,77,74
Soybean,35,64,72
Barley,33,49,73
Barley,34,40,71
Cotton,35,50,72
Green gram,35,73,66
Groundnut,35,57,70
Groundnut,32,87,70
Barley,34,42,74
Black Gram,35,43,69
Gram,32,43,74
Cotton,35,57,73
SugarCane,34,269,75
SugarCane,32,292,67
Mustard,35,44,71
Black Gram,35,45,72
Soybean,33,72,73
Rap seed,35,44,69
Rice,34,120,65
Cotton,32,59,73
Maize,33,74,73
Rice,35,140,70
Black Gram,32,57,71
Barley,35,47,75
Maize,35,71,72
Mustard,33,37,69
Cotton,35,62,67
Sorghum,33,59,74
Rap seed,32,43,68
Rap seed,34,42,71
Black Gram,35,50,67
Sorghum,33,44,67
Barley,35,46,73
Wheat,32,63,69
Sorghum,35,53,70
SugarCane,35,287,66
Maize,32,78,71
Millet,34,30,72
Field Pea,34,41,66
Maize,35,66,75
Rice,32,113,70
Groundnut,34,74,68
Rice,35,123,65
Gram,35,38,72
SugarCane,35,279,65
Mustard,33,38,73
Field Pea,35,60,72
Groundnut,32,89,69
Black Gram,35,41,71
Rice,33,123,69
Rap seed,32,43,74
Barley,33,48,75
SugarCane,32,272,70
Groundnut,32,52,65
Wheat,33,63,71
Groundnut,33,63,72
Gram,33,44,65
Sunflower,33,56,65
Groundnut,34,67,67
Maize,34,53,72
Green gram,35,76,71
Groundnut,32,91,66
Wheat,33,80,67
Groundnut,34,53,71
Soybean,35,70,72
Cotton,32,52,70
Black Gram,33,59,73
Sunflower,32,140,72
Mustard,33,43,73
Green gram,35,60,70
Field Pea,33,58,71
Gram,35,42,65
Black Gram,34,49,68
Rap seed,32,45,74
Gram,33,39,71
Green gram,35,63,73
Maize,33,71,65
Soybean,33,63,65
Mustard,35,35,65
Groundnut,34,75,66
Millet,32,25,70
Black Gram,32,49,75
Sunflower,32,91,72
Mustard,34,43,75
Green gram,32,64,67
Millet,32,29,69
Wheat,34,82,71
SugarCane,35,259,72
Millet,34,25,71
Barley,34,48,68
Cotton,34,65,71
SugarCane,32,251,68
Cotton,33,56,67
Black Gram,32,57,70
Field Pea,33,52,69
Sorghum,35,43,71
Wheat,35,72,72
Rice,33,109,68
Soybean,34,75,72
Soybean,34,75,71
Mustard,35,45,65
SugarCane,33,279,65
Sorghum,32,54,71
Black Gram,32,48,65
Field Pea,33,48,74
Cotton,33,69,66
Sorghum,35,42,65
Green gram,32,78,68
Rap seed,32,36,71
Rap seed,34,45,72
Millet,32,27,68
Soybean,34,70,71
Black Gram,34,43,75
Gram,35,41,75
Field Pea,33,60,74
Groundnut,35,55,69
Cotton,35,56,73
Black Gram,35,51,68
Rap seed,34,43,65
Cotton,35,51,67
Wheat,32,80,71
Cotton,35,51,66
Rice,35,111,74
Maize,32,75,65
Sunflower,33,116,65
Field Pea,32,44,74
Sunflower,35,36,69
Cotton,34,68,73
Barley,35,39,75
Sorghum,35,48,71
SugarCane,32,299,72
Mustard,32,43,75
SugarCane,35,287,74
Maize,32,64,73
Groundnut,33,93,75
Maize,34,62,75
Mustard,35,41,73
Wheat,33,67,68
Maize,35,66,72
Rice,34,114,66
